CBirkbeck__LeanBridge	11608	12695
CBirkbeck__ModularForms_Lean4	584	173
CBirkbeck__uniform-sheafy-tate-domains-lean	5993	2237
celioboulay__expander-graphs	53	48
chantakan__lean4-devcontainer-template	2	1
CharlesHoskinson__proof-zk-recovery	49	131
chasenorman__CanonicalLean	0	180
chords-project__itc-course	62	56
chrisflav__bruhat-tits	473	188
chrisflav__db	15	356
chrisflav__proetale	620	589
Clap-lang__clap-lean	111	1086
cmu-l3__llmlean	4	123
codyroux__traat-lean	263	147
Command-Master__lean-bourgain	207	68
compiler64__category-theory-notes	13	88
cryspen__hax-lean	9	1864
ctchou__AutomataTheory	231	86
dagurtomas__lean-solid	3807	4266
dagurtomas__LeanCondensed	694	572
dannypsnl__violet-legacy	0	120
dappalumbo91__FSOT-2.1-Lean	5219	2314
datokrat__lean-iterators	157	417
DavePearce__LeanEVM	0	81
davidturturean__erdos-870	3994	1670
Deducteam__lean2dk	19	174
DhyeyMavani2003__chip-firing-with-lean	231	111
DiagonaLean__DiagonaLean	343	179
digama0__ast_export	0	11
digama0__lean4lean	2665	1316
djvelleman__HTPILeanPackage	673	229
Dominique-Lawson__Directed-Topology-Lean-4	394	187
draperlaboratory__ELFSage	31	402
dududuguo__HighDimProb	1754	728
dupuisf__BibtexQuery	0	173
dwrensha__animate-lean-proofs	30	78
dwrensha__Chess.lean	18	99
dwrensha__compfiles	6050	1968
dwrensha__lean4-maze	4	29
dwrensha__Rupert.lean	58	65
dwrensha__tryAtEachStep	9	45
ecyrbe__lean-redis	0	1015
ecyrbe__lean-units	266	296
edwin1729__bppl-logic	143	116
ejgallego__imp-lab	0	414
ejgallego__lean-beam	7	2584
elazarg__GameTheory	6075	3401
ElifUskuplu__Stlc_deBruijn	126	34
ElNando888__KrafftSieve	171	97
emilyriehl__infinity-cosmos	137	172
emilyriehl__ReintroductionToProofs	0	11
eric-wieser__lean-matrix-cookbook	379	26
eshelyaron__lean4-bdd	336	202
etheorem__etheorem	218	1228
etheorem__LeanSha256	25	25
facebookresearch__abel	0	89
facebookresearch__algebraic-combinatorics	4636	1242
facebookresearch__atlas-lean	23316	13386
facebookresearch__autoform-bot	2	3
facebookresearch__Evariste	55	9
fgdorais__algebra4	101	433
fgdorais__extra4	364	310
fgdorais__lean4-automata	148	41
fgdorais__lean4-parser	0	250
fgdorais__lean4-unicode-basic	0	329
fgdorais__logic4	58	246
flypitch__flypitch	1988	1209
formal-applied-math__formal-mathfin	1749	429
FormalizedFormalLogic__Arithmetization	2300	954
FormalizedFormalLogic__Foundation	5574	3523
FormalizedFormalLogic__Incompleteness	145	122
FormalizedFormalLogic__ProvabilityLogic	1625	652
formalproofs__MDPLib	227	93
FormalSAT__trestle	1289	1291
fplaunchpad__sal	6192	3216
fpvandoorn__BonnAnalysis	278	97
fpvandoorn__BonnLeanSeminar	5	44
fpvandoorn__carleson	2657	482
fpvandoorn__HausdorffSchoolLean	23	36
fpvandoorn__LeanCourse24	415	488
fpvandoorn__LeanCourse25	306	563
fpvandoorn__LogicColloquiumTutorial	142	136
fpvandoorn__sard	76	8
fraware__leanverifier	47	197
FredRaj3__SemicircleLaw	114	87
frenzymath__FATE-H	100	1
frenzymath__FATE-M	150	0
frenzymath__jixia	11	114
frenzymath__reap	13	172
functionally__crypto-lean4	2	230
funexists__raylean	0	181
fushanbobfan__proofnet-ir	3422	1795
FWuermse__lean-postgres	6	163
GaloisInc__zkLean	50	175
GasStationManager__ArtificialAlgorithms	577	405
GasStationManager__CodeProofTheArena	0	1
GasStationManager__FormalizeWithTest	0	3
GasStationManager__LeanTool	28	6
GasStationManager__SafeVerify	19	56
gdncc__Cryptography	7	141
gebner__hott3	538	882
Geoc2022__AlgebraGame	62	137
girafe-ai__lean-course	187	205
girving__bottcher	22	9
girving__interval	1342	575
girving__ray	1588	296
girving__ray-render	226	206
girving__series	279	82
glams-lean-2024__formal-2024	448	529
goens__lean-hoare	36	99
goens__lost-pop-lean	6	635
google-deepmind__alphaproof-nexus-results	2498	836
google-deepmind__debate	281	80
google-deepmind__formal-conjectures	5818	2321
google-deepmind__formal-imo	317	3
google-deepmind__formal-putnam-like	96	62
google-deepmind__miniF2F	500	0
gsierra99__ExFormMathL4	57	29
Gusarich__tvm-lean	0	25341
Hagb__lean-groebner	159	36
HannahSantos__FMCn_Lean	53	117
hanwenzhu__hammer-demo-irrational-two	4	0
hanwenzhu__LeanArchitect	9	92
hanwenzhu__miller-rabin	80	25
hanwenzhu__premise-selection	5	30
Happyves__BerLean_Workshop	43	40
Happyves__LeanGrowAlpha	37	1279
hargoniX__cpdt-lean	77	68
hargoniX__crup	0	24
hargoniX__Flame	0	24
hargoniX__Leanwuzla	1	134
hargoniX__mini-redis	0	109
hargoniX__socket.lean	0	44
hargup__lean-http-client	0	24
haskell-spec__haskell-spec	3	258
hawkrobe__linglib	32453	36081
Hayata-Yamasaki-Group__lean-quantum	659	228
hdmkindom__mathmatic_in_elementary_number_th	11	5
henryrobbins__flare	5	12
hgoldstein95__palamedes-lean	167	326
hhu-adam__lean-i18n	0	69
hhu-adam__lean4web-tools	0	3
hhu-adam__Robo	143	75
HoTT__Coq-HoTT	1558	9564
hrmacbeth__math2001	234	127
hwatheod__galeshapley-lean	198	109
iasakura__lean-yjs	278	222
igrep__lean-workshop	461	261
imbrem__debruijn-ssa	3420	977
imbrem__discretion	2845	1561
ImperialCollegeLondon__condensed-sets	6	51
ImperialCollegeLondon__FLT	2244	1493
ImperialCollegeLondon__formalising-mathematics-2024	152	116
ImperialCollegeLondon__IUM	18	59
ImperialCollegeLondon__LAGinLean2024	53	32
ImperialCollegeLondon__M1F-explained	254	79
incremental-computing__autoinc-lean	953	1071
input-output-hk__CardanoLedgerApiBlaster	224	789
input-output-hk__Lean-blaster	113	1433
input-output-hk__PlutusCoreBlaster	158	853
inQWIRE__LeanQuantum	235	100
inQWIRE__QuantumLib	3810	631
int-y1__proofs	28369	9197
intgrah__qdt	204	1239
ionathanch__CBPV	270	146
ionathanch__MutualInduction	53	87
ISTA-PLV__coinductive	104	264
itsalissonsilva__lean-ml	15	17
Ivan-Sergeyev__seymour	469	184
ivankobe__FactorizationSystems	22	128
Izzimach__EffSpec-lean	1	170
Izzimach__lean-glfw	0	49
jaalonso__Calculemus2	155	141
jaalonso__Calculemus2_es	91	124
JadAbouHawili__KnightsAndKnaves-Lean4Game	35	21
JadAbouHawili__Raymond-Smullyan-KnightsAndKnaves	40	20
James-Hanson__junk-theorems-in-lean	36	13
JamesGallicchio__http	1	86
JamesGallicchio__lean-openapi	4	108
JamesGallicchio__LeanColls	96	241
jamesj64__lean-modal-logic	54	88
JasonShroyer__sgc-lean	256	304
jcreedcmu__Noperthedron	93953	579
jessealama__lint-llm-proofs	0	54
jessealama__thales	3	1323
jeswr__RDF.lean	10	60
jimscarver__quantum-logical-framework	1411	643
JJYYY-JJY__lean-normal-forms	1362	903
JLimperg__regensburg-itp-school-2023	18	65
JobPetrovcic__ArtinWedderburn	136	70
joehendrix__lean-crypto	96	393
JokerXin2025__Calculus_21	528	695
jonhanke__quadratic_forms_in_lean	36	114
Joonas-vonlerber__Type-Theory-Game	3	59
josephmckinsey__Flean	150	66
JOSHCLUNE__LeanHammer	0	97
JoshuaPurtell__lithe	0	721
jsm28__AperiodicMonotilesLean	311	70
jsm28__IMOLean	38	93
jtristan__lffi	0	12
jtristan__UnicodeSkipListTable	0	29
jtristan__UnicodeSkipListTableExample	0	19
juhp__curl-json-lean	0	4
Julian__generatingfunctionology.lean	32	10
JulsDE__MRiscX	126	121
Jun2M__Main-theorem-of-polytopes	90	42
katydid__regex-deriv-lean	289	239
katydid__regex-deriv-reproving-agda-in-lean	0	93
katzenpost__crypt_walker	0	149
kbuzzard__ClassFieldTheory	607	449
kbuzzard__FilterGame	74	6
kckennylau__EllipticCurve	653	368
kebekus__ProjectVD	248	34
keilambda__eocia-lean	0	104
keilambda__ttfpi	63	160
KentBeck__BPlusTreeLean	57	59
khanukov__p-np2	4927	3175
kim-em__erdos-unit-distance	102	21
kim-em__hex-dev	12196	12465
kim-em__lean-category-theory	13	61
kim-em__lean-finmap	90	50
kim-em__lean-training-data	1	117
KisaraBlue__ec-tate-lean	280	179
KislyjKisel__lean-pod	4	127
KislyjKisel__Raylib.lean	5	1640
kkaunda__spgf	7	15
kkytola__ExtremeValueProject	374	68
kkytola__VirasoroProject	340	188
klavins__LeanW26	246	719
kmill__cse290q-25sp	360	406
kmill__lean4-raytracer	7	117
kmill__LeanTeX	0	97
kmill__msri2023_graphs	298	111
knowsys__CertifyingDatalog	6	58
knowsys__Formale-Systeme-in-LEAN	218	355
konne88__functorio	0	524
Koukyosyumei__PoL	18	26
Koukyosyumei__Runwai	71	156
kovach__etch	527	1356
kylekaba__knuth-fasc8a-ex210	4	130
lamafab__algebra	33	85
lamafab__octra-hfhe-lean	104	151
lambda-fairy__taleve	7	25
lambdaclass__supertensor_lean	526	825
lambdaclass__truth_research	382	293
lambdaclass__truth_research_zk	2	132
lean-dojo__LeanCopilot	0	144
lean-dojo__LeanMillenniumPrizeProblems	696	484
lean-dojo__TorchLean	3362	10721
lean-ja__lean-by-example	189	920
lean-ja__lean99	0	130
lean-ja__reference-manual-ja	17	675
lean-machines-central__lean-machines	23	870
lean-machines-central__lean-machines-examples	241	337
Lean-MoDS__StatsMLlib	2217	485
lean-phys-community__PhysLean_notes	0	1
Lean-zh__protobuf	0	1588
LeanMachineLearning__LML	582	116
leanprover-community__add-combi	180	6
leanprover-community__aesop	303	1736
leanprover-community__batteries	1967	1541
leanprover-community__con-nf	2844	1247
leanprover-community__duper	357	1150
leanprover-community__flt-regular	195	57
leanprover-community__import-graph	2	51
leanprover-community__iris-lean	5065	3846
leanprover-community__lean-auto	900	1906
leanprover-community__lean-liquid	3642	3886
leanprover-community__lean-perfectoid-spaces	660	454
leanprover-community__lean4-metaprogramming-book	10	164
leanprover-community__LeanSearchClient	0	42
leanprover-community__llm	0	51
leanprover-community__mathematics_in_lean	310	358
leanprover-community__mathlib4	187785	69130
leanprover-community__mathport	1	1217
leanprover-community__NNG4	29	40
leanprover-community__physlib	10849	4223
leanprover-community__plausible	4	274
leanprover-community__ProofWidgets4	1	328
leanprover-community__quote4	0	149
leanprover-community__repl	10	140
