url	directory	proof_assistant	transport	sync_group	discovered_via
https://github.com/anoma/goose-lean	reservoir-sources/anoma__goose-lean	lean	git	bulk	reservoir
https://github.com/anoma/juvix-lean	reservoir-sources/anoma__juvix-lean	lean	git	bulk	reservoir
https://github.com/ANR-FALSE/PadicModForms	ANR-FALSE__PadicModForms	lean	git	routine	registry
https://github.com/Antoine-dSG/frieze_patterns	reservoir-sources/Antoine-dSG__frieze_patterns	lean	git	bulk	reservoir
https://github.com/AntoineChambert-Loir/DividedPowers4	AntoineChambert-Loir__DividedPowers4	lean	git	routine	registry
https://github.com/aochagavia/tic-tac-toe-lean	reservoir-sources/aochagavia__tic-tac-toe-lean	lean	git	bulk	reservoir
https://github.com/apnelson1/Matroid	apnelson1__Matroid	lean	git	routine	registry
https://github.com/arademaker/bignum	reservoir-sources/arademaker__bignum	lean	git	bulk	reservoir
https://github.com/arademaker/delphin	reservoir-sources/arademaker__delphin	lean	git	bulk	reservoir
https://github.com/arademaker/fad	reservoir-sources/arademaker__fad	lean	git	bulk	reservoir
https://github.com/arademaker/vizagrams	reservoir-sources/arademaker__vizagrams	lean	git	bulk	reservoir
https://github.com/argumentcomputer/Bellanova.lean	reservoir-sources/argumentcomputer__Bellanova.lean	lean	git	bulk	reservoir
https://github.com/argumentcomputer/FFaCiL.lean	reservoir-sources/argumentcomputer__FFaCiL.lean	lean	git	bulk	reservoir
https://github.com/argumentcomputer/ix	reservoir-sources/argumentcomputer__ix	lean	git	bulk	reservoir
https://github.com/argumentcomputer/Lurk.lean	reservoir-sources/argumentcomputer__Lurk.lean	lean	git	bulk	reservoir
https://github.com/argumentcomputer/Nova.lean	reservoir-sources/argumentcomputer__Nova.lean	lean	git	bulk	reservoir
https://github.com/argumentcomputer/Poseidon.lean	reservoir-sources/argumentcomputer__Poseidon.lean	lean	git	bulk	reservoir
https://github.com/argumentcomputer/Vero	reservoir-sources/argumentcomputer__Vero	lean	git	bulk	reservoir
https://github.com/argumentcomputer/Wasm.lean	reservoir-sources/argumentcomputer__Wasm.lean	lean	git	bulk	reservoir
https://github.com/argumentcomputer/yatima	reservoir-sources/argumentcomputer__yatima	lean	git	bulk	reservoir
https://github.com/argumentcomputer/YatimaStdLib.lean	reservoir-sources/argumentcomputer__YatimaStdLib.lean	lean	git	bulk	reservoir
https://github.com/argumentcomputer/ZKSnark.lean	reservoir-sources/argumentcomputer__ZKSnark.lean	lean	git	bulk	reservoir
https://github.com/arthur-adjedj/Leanduction	reservoir-sources/arthur-adjedj__Leanduction	lean	git	bulk	reservoir
